,event_id,event_date,event_year,event_month,event_time,event_hour,event_am_pm,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,caused_fatalities,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
11,8253,2014-12-21 08:10:00,2014,December,08:10:00,8,AM,landslide,unknown,unknown,above_road,0.0,0.0,No,United States,US,Oregon,12883.0,Saint Helens,0.87786,-122.8178,45.8647
13,9958,2017-07-03 14:33:00,2017,July,14:33:00,14,PM,landslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,105.5299971,23.14383048
14,955,2009-01-02 20:30:00,2009,January,20:30:00,20,PM,landslide,downpour,medium,unknown,0.0,1.0,No,Philippines,PH,Bicol,6721.0,Matnog,5.5353,124.0419,12.5655
42,9810,2017-05-19 20:14:00,2017,May,20:14:00,20,PM,mudslide,rain,small,urban,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-83.712126,36.770029
53,9962,2017-07-03 14:33:00,2017,July,14:33:00,14,PM,landslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,104.4530851,22.69040325
56,1382,2010-01-01 00:00:00,2010,January,00:00:00,0,AM,mudslide,downpour,large,unknown,22.0,28.0,Yes,Brazil,BR,Rio de Janeiro,153635.0,Angra dos Reis,2.5888,-44.32249842,-23.01374445
57,8208,2015-02-06 13:18:00,2015,February,13:18:00,13,PM,landslide,unknown,unknown,above_road,0.0,0.0,No,United States,US,Oregon,3742.0,Lafayette,3.64565,-123.1587,45.2335
77,9744,2017-01-06 14:34:00,2017,January,14:34:00,14,PM,rock_fall,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-119.7795082,37.67607624
78,9769,2017-05-30 13:34:00,2017,May,13:34:00,13,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,120.9613282,16.77787239
85,9944,2017-07-03 18:04:00,2017,July,18:04:00,18,PM,landslide,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,84.54704621,27.83196401
93,9965,2016-09-05 18:04:00,2016,September,18:04:00,18,PM,landslide,rain,large,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,94.514651,26.324724
96,9853,2016-08-16 19:22:00,2016,August,19:22:00,19,PM,landslide,rain,large,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,88.492,27.593
